Species,Plot,Subplot,Core,Light_ISF,Light_Cat,Soil,Sterile,Conspecific,Myco,SoilMyco,AMF,EMF,Phenolics,Lignin,NSC,Time,Event
Quercus alba,15,A,2017,0.087,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,EMF,21.02,35.22,5.31,20.46,19.21,115.5,0.0
Acer saccharum,11,D,2017,0.05,Low,Quercus rubra,Non-Sterile,Heterospecific,AMF,EMF,15.98,,-0.32,10.19,10.76,45.5,1.0
Quercus alba,15,C,2016,0.103,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,23.71,30.45,5.02,18.89,22.85,115.5,0.0
Acer saccharum,11,D,2017,0.05,Low,Quercus rubra,Non-Sterile,Heterospecific,AMF,EMF,15.98,,-0.32,10.19,10.76,45.5,1.0
Quercus alba,15,C,2016,0.103,Med,Quercus alba,Non-Sterile,Conspecific,EMF,EMF,11.03,36.83,4.99,23.16,16.88,115.5,0.0
Quercus rubra,15,C,2016,0.103,Med,Quercus rubra,Non-Sterile,Conspecific,EMF,EMF,19.39,42.58,3.68,26.01,14.74,73.5,1.0
Acer saccharum,12,A,2016,0.063,Low,Quercus alba,Non-Sterile,Heterospecific,AMF,EMF,14.46,,-0.01,13.55,12.46,45.5,1.0
Acer saccharum,12,A,2016,0.063,Low,Quercus alba,Non-Sterile,Heterospecific,AMF,EMF,14.46,,-0.01,13.55,12.46,45.5,1.0
Prunus serotina,12,C,2017,0.047,Low,Acer rubrum,Non-Sterile,Heterospecific,AMF,AMF,18.2,,0.01,4.84,6.92,45.5,1.0
Prunus serotina,12,A,2017,0.063,Low,Acer rubrum,Non-Sterile,Heterospecific,AMF,AMF,23.46,,0.28,5.14,6.73,45.5,1.0
Quercus alba,15,E,2017,0.086,Med,Sterile,Sterile,Sterilized,EMF,Sterile,5.33,5.07,3.22,18.69,20.69,115.5,0.0
Quercus alba,15,D,2016,0.086,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,18.23,22.62,4.96,18.6,22.13,66.5,1.0
Prunus serotina,12,A,2016,0.063,Low,Acer rubrum,Non-Sterile,Heterospecific,AMF,AMF,23.46,,0.28,5.14,6.73,45.5,1.0
Quercus alba,15,D,2017,0.086,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,EMF,24.89,38.65,5.19,19.47,20.84,70.0,1.0
Prunus serotina,12,C,2017,0.047,Low,Sterile,Sterile,Sterilized,AMF,Sterile,11.66,,0.0,5.01,8.16,45.5,1.0
Acer saccharum,12,A,2016,0.063,Low,Quercus alba,Non-Sterile,Heterospecific,AMF,EMF,14.46,,-0.01,13.55,12.46,45.5,1.0
Quercus rubra,15,B,2017,0.11,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,21.18,28.3,3.56,26.44,14.48,66.5,1.0
Quercus alba,15,E,2017,0.086,Med,Sterile,Sterile,Sterilized,EMF,Sterile,5.33,5.07,3.22,18.69,20.69,115.5,0.0
Prunus serotina,12,B,2016,0.06,Low,Acer rubrum,Non-Sterile,Heterospecific,AMF,AMF,23.14,,0.32,5.17,6.58,45.5,1.0
Quercus rubra,15,D,2016,0.086,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,23.14,51.73,3.81,26.81,14.69,115.5,0.0
Acer saccharum,12,D,2017,0.032,Low,Quercus rubra,Non-Sterile,Heterospecific,AMF,EMF,16.73,,-0.4,10.11,10.95,45.5,1.0
Quercus rubra,15,D,2017,0.086,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,23.14,51.73,3.81,26.81,14.69,115.5,0.0
Acer saccharum,12,D,2017,0.032,Low,Quercus rubra,Non-Sterile,Heterospecific,AMF,EMF,16.73,,-0.4,10.11,10.95,45.5,1.0
Prunus serotina,12,D,2017,0.032,Low,Acer rubrum,Non-Sterile,Heterospecific,AMF,AMF,17.34,,0.01,4.83,7.05,45.5,1.0
Acer saccharum,12,B,2017,0.06,Low,Quercus alba,Non-Sterile,Heterospecific,AMF,EMF,16.9,,-0.07,11.0,11.67,45.5,1.0
Prunus serotina,12,D,2017,0.032,Low,Acer rubrum,Non-Sterile,Heterospecific,AMF,AMF,17.34,,0.01,4.83,7.05,45.5,1.0
Acer saccharum,12,D,2017,0.032,Low,Quercus alba,Non-Sterile,Heterospecific,AMF,EMF,15.49,,-0.24,12.88,11.8,45.5,1.0
Quercus alba,15,D,2017,0.086,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,16.02,27.95,4.1,18.7,23.11,66.5,1.0
Prunus serotina,12,D,2017,0.032,Low,Sterile,Sterile,Sterilized,AMF,Sterile,10.98,,0.0,5.0,8.22,45.5,1.0
Acer saccharum,12,B,2016,0.06,Low,Quercus rubra,Non-Sterile,Heterospecific,AMF,EMF,13.4,,-0.04,10.96,10.99,45.5,1.0
Acer saccharum,13,C,2016,0.087,Med,Acer saccharum,Non-Sterile,Conspecific,AMF,AMF,19.8,,0.48,14.09,12.53,45.5,1.0
Quercus rubra,15,B,2016,0.11,Med,Quercus alba,Non-Sterile,Heterospecific,EMF,EMF,19.84,23.4,3.81,21.2,18.01,115.5,0.0
Acer saccharum,13,C,2016,0.087,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,EMF,14.72,,-0.08,13.88,12.21,45.5,1.0
Acer saccharum,13,A,2017,0.052,Low,Acer rubrum,Non-Sterile,Heterospecific,AMF,AMF,16.73,,-0.32,9.59,9.41,45.5,1.0
Prunus serotina,15,D,2017,0.086,Med,Sterile,Sterile,Sterilized,AMF,Sterile,10.0,,0.05,7.33,11.55,59.5,1.0
Quercus alba,15,D,2017,0.086,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,22.6,32.45,5.09,19.03,22.53,115.5,0.0
Acer saccharum,13,A,2016,0.052,Low,Populus grandidentata,Non-Sterile,Heterospecific,AMF,EMF,12.29,,-0.34,9.34,9.91,45.5,1.0
Acer saccharum,13,C,2016,0.087,Med,Acer rubrum,Non-Sterile,Heterospecific,AMF,AMF,17.08,,0.0,13.87,12.17,45.5,1.0
Acer saccharum,13,A,2016,0.052,Low,Populus grandidentata,Non-Sterile,Heterospecific,AMF,EMF,12.29,,-0.34,9.34,9.91,45.5,1.0
